,dayofweek,mintemp,maxtemp,rain
206,1,63.0,84.9,0.0
280,4,26.1,37.9,0.0
210,5,53.1,69.1,0.0
111,5,63.0,84.0,0.0
145,6,66.0,82.9,0.0
337,6,28.9,44.1,0.0
255,4,51.1,69.1,0.0
247,5,46.9,60.1,0.0
331,3,14.0,33.1,0.26
177,2,69.1,91.9,0.0
186,1,60.1,73.9,1.32
90,6,50.0,57.9,0.13
265,1,33.1,50.0,0.07
88,1,48.9,63.0,0.02
240,3,54.0,82.0,0.0
212,2,57.0,79.0,0.0
37,2,44.1,64.0,0.61
7,5,50.0,72.0,1.46
179,1,69.1,84.9,0.0
252,5,42.1,66.9,0.1
343,7,21.9,30.0,0.16
180,2,69.1,86.0,0.0
38,1,28.9,55.0,0.0
56,4,55.0,69.1,0.0
361,3,12.9,37.9,0.0
326,7,21.9,33.1,0.0
134,4,75.9,89.1,0.0
136,1,66.0,82.9,0.0
352,3,19.0,39.0,0.39
152,6,70.0,86.0,0.0
218,3,66.0,87.1,0.0
10,4,23.0,42.1,0.0
190,6,68.0,84.9,0.0
120,3,75.9,93.0,0.0
352,2,35.1,54.0,0.02
105,4,57.9,73.0,0.41
98,4,54.0,73.0,0.0
118,6,75.0,93.0,0.0
229,6,54.0,75.0,0.03
242,3,45.0,62.1,0.73
90,5,60.1,68.0,0.0
164,2,78.1,95.0,0.0
134,6,75.0,89.1,0.0
201,7,71.1,88.0,0.0
326,3,27.0,41.0,0.06
197,3,64.0,88.0,0.0
21,4,32.0,45.0,2.26
133,4,64.9,84.0,0.0
276,4,39.0,53.1,0.0
59,4,44.1,72.0,0.0
307,5,19.0,33.1,0.01
170,3,71.1,84.9,0.0
7,7,39.9,48.9,0.01
12,7,36.0,57.0,0.01
223,6,53.1,75.0,0.0
334,6,18.0,39.0,0.0
174,5,70.0,88.0,0.0
187,7,62.1,80.1,0.0
164,4,71.1,88.0,0.0
162,4,71.1,91.9,0.0
28,7,43.0,53.1,0.0
241,4,48.9,55.0,0.07
267,4,39.9,57.0,0.16
61,6,45.0,57.9,0.0
258,1,45.0,73.9,0.0
20,6,48.9,61.0,0.0
282,5,44.1,71.1,0.0
34,6,41.0,64.9,0.0
151,1,73.0,90.0,0.0
119,5,75.0,93.0,0.0
312,7,34.0,55.0,0.11
271,6,39.2,51.1,0.09
247,3,48.9,72.0,0.0
160,6,71.1,84.9,0.0
155,4,75.9,95.0,0.0
323,4,21.9,39.0,0.0
317,5,28.9,41.0,0.0
35,5,39.9,60.1,0.0
206,4,55.0,87.1,0.01
165,3,75.9,97.0,0.12
24,4,41.0,46.9,0.41
220,4,60.1,90.0,0.02
243,7,48.0,69.1,0.0
200,3,59.0,81.0,0.0
143,4,75.0,89.1,0.01
336,7,30.0,42.1,0.0
211,6,62.1,73.9,0.0
46,3,48.2,60.1,0.17
258,6,46.9,71.1,0.08
313,7,3.0,28.9,0.01
209,1,66.0,82.9,0.27
327,2,30.2,39.9,0.0
16,3,55.0,64.4,0.39
26,2,39.9,51.1,0.16
152,2,71.1,82.9,0.57
19,2,30.0,48.0,0.48
305,7,10.0,37.9,0.0
292,2,41.0,64.0,0.02
193,3,66.0,89.1,0.0
268,3,39.0,60.1,0.01
271,7,46.9,63.0,0.04
358,4,15.1,25.0,0.05
261,5,42.1,61.0,0.0
126,7,75.9,91.0,0.0
279,5,23.0,42.1,0.0
51,5,44.1,63.0,0.02
310,3,6.1,37.9,0.0
105,7,64.0,78.1,0.0
225,3,53.1,77.0,0.0
343,5,25.0,39.0,0.0
197,4,64.0,79.0,0.34
87,4,55.0,71.1,0.0
237,5,51.1,68.0,0.32
345,3,34.0,42.1,0.0
360,2,28.9,57.0,0.13
284,1,28.9,48.0,0.01
73,2,37.0,53.1,0.0
309,4,6.1,37.9,0.0
106,6,63.0,75.0,0.0
88,7,57.0,71.1,0.07
122,4,72.0,90.0,0.0
9,5,33.1,50.0,0.0
71,3,44.1,68.0,0.0
63,4,53.1,72.0,0.0
18,7,32.0,44.1,0.0
236,7,53.1,79.0,0.0
314,5,28.0,50.0,0.25
307,6,19.0,32.0,0.0
290,4,44.1,64.9,0.0
23,5,41.0,46.9,0.06
213,1,57.0,77.0,0.01
31,1,28.9,53.1,0.0
270,1,43.0,62.1,0.0
210,7,63.0,82.9,0.02
274,4,34.0,51.1,0.14
220,1,55.9,81.0,0.02
219,2,55.9,87.1,0.0
267,6,44.1,60.1,0.15
79,3,55.9,75.9,0.0
187,2,69.1,86.0,0.0
255,2,45.0,61.0,0.0
342,6,28.0,39.0,0.0
13,6,43.0,59.0,0.88
345,5,28.0,37.9,0.0
303,5,27.0,36.0,0.0
338,5,28.9,48.0,0.0
61,7,43.0,60.1,0.0
353,2,19.0,37.9,0.0
340,3,30.0,48.9,0.0
257,6,35.1,46.9,0.0
120,4,75.0,88.0,0.0
34,5,34.0,51.1,1.07
121,3,75.9,91.9,0.0
37,5,37.0,50.0,0.0
13,5,37.9,53.1,0.03
152,7,73.9,91.0,0.0
127,3,68.0,86.0,0.0
213,4,68.0,84.0,0.0
180,7,66.9,81.0,0.0
311,2,16.0,42.1,0.11
352,5,24.1,39.0,0.0
101,4,71.1,84.9,0.0
239,3,50.0,68.0,0.0
153,5,64.9,82.9,0.0
169,4,71.1,81.0,0.95
111,1,75.9,91.0,0.0
53,1,48.0,72.0,0.0
164,1,66.9,77.0,0.0
256,7,35.1,64.9,0.0
221,7,57.0,68.0,1.09
131,7,70.0,86.0,0.0
129,1,64.9,80.1,0.0
3,4,37.9,62.1,0.0
299,2,33.1,61.0,0.0
154,5,75.0,95.0,0.0
76,5,64.9,78.1,0.72
329,7,32.0,44.1,0.05
22,4,39.0,53.1,0.0
25,1,39.9,53.1,0.0
25,3,39.9,51.1,0.02
349,1,30.2,46.9,0.02
211,4,50.0,69.1,0.24
315,7,25.0,62.1,0.0
62,5,50.0,72.0,0.0
168,7,77.0,91.9,0.0
100,3,59.0,73.0,0.0
95,3,57.0,75.9,0.15
297,4,41.0,75.0,0.0
123,7,64.0,79.0,0.0
236,6,52.0,63.0,0.09
349,5,37.0,41.0,0.0
147,7,72.0,91.0,0.0
312,1,14.0,42.1,0.71
254,5,50.0,70.0,0.0
116,7,73.0,91.0,0.0
6,1,39.9,51.1,0.51
264,2,33.1,61.0,0.0
253,6,50.0,78.1,0.0
96,2,57.0,73.0,0.0
91,7,57.2,64.0,0.39
233,5,53.1,78.1,0.0
3,1,42.1,55.0,0.0
